"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
"C15","CC0603","69.15mm","80.45mm","69.15mm","80.45mm","69.15mm","79.6mm","T","90.00","220pF"
"C16","CC0603","76.825mm","75.3mm","76.825mm","75.3mm","76.825mm","76.15mm","T","270.00","22pF"
"C17","CC0603","76.8273mm","79.05mm","76.8273mm","79.05mm","76.8273mm","78.2mm","T","90.00","22pF"
"C18","CC0603","97.175mm","93.8mm","97.175mm","93.8mm","97.175mm","94.65mm","T","270.00","0.1uF"
"C19","CC0603","84.525mm","92.625mm","84.525mm","92.625mm","83.675mm","92.625mm","T","360.00","0.1uF"
"C20","CC1206","69.825mm","36.6mm","69.825mm","36.6mm","69.825mm","35.15mm","T","90.00","0.1uFx250V"
"C21","CC0603","78.025mm","56.925mm","78.025mm","56.925mm","78.875mm","56.925mm","T","180.00","0.1 uF"
"C22","CC0603","99.75mm","44.8mm","99.75mm","44.8mm","98.9mm","44.8mm","T","360.00","0.1 uF"
"C23","CC8X3.5","96.95mm","49.8mm","96.95mm","48.05mm","96.95mm","48.05mm","T","90.00","1000uFx6.3V"
"C24","CC16X10_CAP0.5(1)(Primary)","66.525mm","61.34mm","66.525mm","58.8mm","66.525mm","63.88mm","T","90.00","470uFx35V"
"C25","CC0603","73.475mm","55.575mm","73.475mm","55.575mm","73.475mm","54.725mm","T","90.00","0.1 uF"
"C26","CC0603","72.475mm","51.6mm","72.475mm","51.6mm","72.475mm","52.45mm","T","270.00","10 nF"
"C27","CC0603","80.725mm","51.65mm","80.725mm","51.65mm","81.575mm","51.65mm","T","180.00","330pF"
"C28","CC0603","80.7mm","50.075mm","80.7mm","50.075mm","81.55mm","50.075mm","T","180.00","560pF"
"C29","CC0603","110.375mm","65.275mm","110.375mm","65.275mm","111.225mm","65.275mm","T","180.00","0.1uF"
"C30","CC0805","110.35mm","67.15mm","110.35mm","67.15mm","109.45mm","67.15mm","T","360.00","10uFx6.3V"
"C31","CC0805","107.65mm","61.65mm","107.65mm","61.65mm","107.65mm","62.55mm","T","270.00","10uF 6.3V"
"C32","CC0603","109.55mm","61.6mm","109.55mm","61.6mm","109.55mm","60.75mm","T","90.00","0.1uF"
"C33","CC0603","79.475mm","63.7mm","79.475mm","63.7mm","80.325mm","63.7mm","T","180.00","0.1 uF"
"C34","CC0603","109.525mm","55.25mm","109.525mm","55.25mm","109.525mm","56.1mm","T","270.00","0.1 uF"
"C35","CC8X3.5","104.45mm","55.25mm","104.45mm","57mm","104.45mm","57mm","T","270.00","1000uFx6.3V"
"C37","CC0603","75.1499mm","62.5mm","75.1499mm","62.5mm","75.1499mm","61.65mm","T","90.00","0.1 uF"
"C38","CC0603","75.15mm","58.4mm","75.15mm","58.4mm","75.15mm","59.25mm","T","270.00","10 nF"
"C39","CC0603","82.6mm","58.75mm","82.6mm","58.75mm","83.45mm","58.75mm","T","180.00","330pF"
"C40","CC0603","82.6mm","57.075mm","82.6mm","57.075mm","83.45mm","57.075mm","T","180.00","560pF"
"DA2","P-PQFP-N20","115.55mm","55.3mm","115.55mm","55.3mm","113.35mm","54.55mm","T","360.00","BQ24070"
"DA3","S-PDSO-G10","78.025mm","54.225mm","75.825mm","55.225mm","75.825mm","55.225mm","T","360.00","TPS54260DGQ"
"DA4","SOT23-5","112.15mm","62mm","112.15mm","62mm","111.2mm","60.75mm","T","90.00","AP2210K-ADJTRG1"
"DA5","S-PDSO-G10","79.475mm","61.15mm","77.275mm","62.15mm","77.275mm","62.15mm","T","360.00","TPS54260DGQ"
"DD1","LQFP-48","89.475mm","79.425mm","89.475mm","79.425mm","85.275mm","82.175mm","T","360.00","LPC11C24FBD48"
"DD2","EIAJ_SO8","74.655mm","86.9715mm","72.75mm","83.225mm","72.75mm","83.225mm","T","90.00","M25PE16-VMW"
"F1","Fuse_5x20","149.9mm","58.9mm","149.9mm","48.45mm","149.9mm","53.45mm","T","90.00","KLS5-266(5x20) 2pcs"
"F2","Fuse_5x20","143.1mm","58.9mm","143.1mm","48.45mm","143.1mm","53.45mm","T","90.00","KLS5-266(5x20) 2pcs"
